Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Appliances,1107.399929523468,145
Technology,Copiers,6962.599878501147,125
Office Supplies,Binders,716.7000020220876,294
Furniture,Chairs,2783.939985871315,152
Technology,Machines,2252.3999786376953,80
Office Supplies,Art,904.0499884523451,241
Office Supplies,Envelopes,646.47999766469,147
Office Supplies,Storage,2076.560003042221,216
Office Supplies,Labels,339.3799961209297,225
Furniture,Tables,-1109.7300109863281,20
Office Supplies,Paper,758.9999911189079,239
Office Supplies,Fasteners,339.3599979504943,165
Furniture,Bookcases,3796.580051165074,144
Technology,Accessories,2521.9799881875515,143
Furniture,Furnishings,916.8300092630088,141
Technology,Phones,4278.430077672005,189
Office Supplies,Supplies,442.8600002042949,141
